sym,RefEntityName,Tier,Tenor,REDcode,ConvSpreadBid,ConvSpreadAsk,Coupon,Quality,Source,Owner,DocClause,Currency,Conv Spread Parsed,Upfront Parsed,Parsed Ticker
MEX,Utd Mexican Sts,SNRFOR,5,9A18EC,117,119,100,10,BARCAP,AQRCM,CR14,USD,1,0,MX
BRAZIL,Federative Rep Brazil,SNRFOR,5,115CCB,228,231,100,10,BARCAP,AQRCM,CR14,USD,1,0,BZ
WFC,Wells Fargo & Co,SNRFOR,5,9DDGBA,42,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
MWD,Morgan Stanley,SNRFOR,5,678B8A,75,78,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
JPM,JPMorgan Chase & Co,SNRFOR,5,4C933G,63,66,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
HRB-Fllc,Block Finl LLC,SNRFOR,5,09C9BK,140,150,500,10,BARCAP,AQRCM,XR14,USD,1,0,HRB-FLLC
GS,Goldman Sachs Gp Inc,SNRFOR,5,3B955H,84,87,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,5,39FF84,37,40,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,5,1F445B,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF,Cap One Finl Corp,SNRFOR,5,1F444H,40,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
C,Citigroup Inc,SNRFOR,5,189BFD,73,76,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
BACORP,Bk of America Corp,SNRFOR,5,0G655D,64,67,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
AXP,Amern Express Co,SNRFOR,5,027D97,43,48,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
TSCO,Tesco PLC,SNRFOR,5,8G96CC,166,173,100,10,BARCAP,AQRCM,MM14,EUR,1,0,TSCOLN
SBRY,J Sainsbury PLC,SNRFOR,5,4AC86D,124,132,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SBRY
NXT,Next plc,SNRFOR,5,GMB517,38,43,100,10,BARCAP,AQRCM,MM14,EUR,1,0,NXTLN
MKS-M+SPlc,Marks & Spencer p l c,SNRFOR,5,GLDABF,80,85,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MKS
METFNL,METRO AG,SNRFOR,5,DI8CFE,89,94,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MEOGR
KINGFI,Kingfisher PLC,SNRFOR,5,4-Dec-96,49,54,100,10,BARCAP,AQRCM,MM14,EUR,1,0,KGFLN
KERIAA,Kering,SNRFOR,5,FK976O,51,56,100,10,BARCAP,AQRCM,MM14,EUR,1,0,KERFP
GROUPE,CASINO GUICHARDPERRACHON,SNRFOR,5,FG554O,96,101,100,10,BARCAP,AQRCM,MM14,EUR,1,0,COFP
